M_fetched,M_used,stream_id,success_probability,conditional_fidelity
32,24,33,0.0757448031988253,0.7570610615409678
32,24,34,0.06379176262086869,0.9298957276528992
32,24,35,0.07637185630498179,0.7043315021814905
32,24,36,0.06864649861987504,0.7724944335996027
32,24,37,0.0987141788224956,0.5998898442212357
32,24,38,0.050302191537979386,0.8246396001338749
32,24,39,0.06404098922103692,0.9388330569358446
64,48,0,0.045904039215054634,0.9609148529799517
64,48,1,0.06104246811653684,0.8265188992800412
64,48,2,0.056414875289940436,0.6423051170085524
64,48,3,0.07073178648554183,0.6402810164847058
64,48,4,0.057632895445224694,0.8391796706919291
64,48,5,0.05051030234889918,0.881887819989492
64,48,6,0.02798623799799921,0.8691246098493959
64,48,7,0.04450251222958795,0.9549849929966124
64,48,8,0.057555459825349736,0.8917667147937542
64,48,9,0.06102495325623055,0.7164158430237908
64,48,10,0.07353270120040808,0.775400302363723
64,48,11,0.052357511609797174,0.8479751978519618
64,48,12,0.04627760900082396,0.9332137875545947
64,48,13,0.10651066649075487,0.5470183659201876
64,48,14,0.06538596940891474,0.9252897885037463
64,48,15,0.0546234272701644,0.9472616973995163
64,48,16,0.031123497190189284,0.9762201553234509
64,48,17,0.07572339846137181,0.8017702040308335
64,48,18,0.06343539549748181,0.8561161405057046
64,48,19,0.04114947402780309,0.883290364663412
64,48,20,0.06575492388073237,0.863561467474552
64,48,21,0.026131831715327725,0.8436871368250264
64,48,22,0.05385220272250939,0.8279144936517611
64,48,23,0.04745275061538767,0.7980017686173464
64,48,24,0.05210611045457485,0.8523628838350862
64,48,25,0.03938332164347158,0.976914331688888
64,48,26,0.0674762233525032,0.7487442777874348
64,48,27,0.076892249904468,0.7914369024853413
64,48,28,0.04157550524648869,0.9130033664940699
64,48,29,0.02668933463656844,0.9134245899329413
64,48,30,0.047446677226183974,0.9515318518590604
64,48,31,0.04599976936559846,0.9484391759418899
64,48,32,0.02055846236142605,0.6825683920789586
64,48,33,0.046296492755010195,0.9558562533879292
64,48,34,0.05212590244641077,0.6863845129020623
64,48,35,0.08120400991317597,0.692394245366903
64,48,36,0.0623295745681156,0.6947387192066403
64,48,37,0.05264008516292846,0.9853681648481277
64,48,38,0.0414718148017771,0.8841091151067453
64,48,39,0.06283072192350164,0.6898481649476769
128,96,0,0.04121569566030775,0.9750842980557065
128,96,1,0.05709800013322601,0.9898127648245354
128,96,2,0.08996945290085512,0.6182539855121387
128,96,3,0.043961723412686594,0.9333107135587839
128,96,4,0.05544229743945258,0.9482524649534562
128,96,5,0.044389942242445524,0.8515031726084212
128,96,6,0.04942213140041506,0.9733476594686481
128,96,7,0.037198439790567646,0.9619940692266381
128,96,8,0.035290710095739086,0.9375899050870286
128,96,9,0.04917838887647276,0.9953711301186392
128,96,10,0.03762092307926732,0.7388789971246182
128,96,11,0.04867918543349702,0.9787405134933194
128,96,12,0.04748260112077032,0.9565636942952856
128,96,13,0.04792515254025664,0.9498582404135631
128,96,14,0.04475351394563672,0.9778701259670937
128,96,15,0.046010687009536505,0.9626521687089983
128,96,16,0.030430725214475898,0.7986786164324159
128,96,17,0.02798560058833119,0.8841938729479568
128,96,18,0.048354734094040765,0.9172914521277897
128,96,19,0.054878223973107515,0.9039917736809545
128,96,20,0.03474727912950286,0.9793064463352668
128,96,21,0.03714194059622092,0.8260380429917553
128,96,22,0.05894218056408237,0.9216409589765849
128,96,23,0.05279400403275978,0.5873199485070213
128,96,24,0.04708489175269743,0.8793048513975842
128,96,25,0.042368213355714425,0.9538644656615856
128,96,26,0.030399690469055,0.9863694248145248
128,96,27,0.03602287508714745,0.978580062262406
128,96,28,0.04157564143345314,0.6958659010093696
128,96,29,0.04952236522334727,0.795183190239139
128,96,30,0.0555032595243037,0.9524437089132044
128,96,31,0.04092938700501185,0.9253653077140412
128,96,32,0.04188206281075391,0.8688273182927532
128,96,33,0.055626047427174266,0.9103808801707524
