experiment_id,M_data,M_over_D,R_stream_index,ideal_F_echo,logical_cx,negative_sample_count,stream_sha256,qasm_sha256
imdb_flat_045_iid_M16_r19,16,4.0,19,0.8901650429449554,28,11,6f8cd5dc98e50af8e4cc98230e7d973d86b0693b2fa6932e4909afdfc5703a06,b57dc99dbda9b92c85407dc3eebfc8f1a5d4767dad04c1440f1af1456c23a900
imdb_flat_046_iid_M32_r0,32,8.0,0,0.09526993616913665,54,24,d6f44ebeff5dc908aed02e6f307f3eb6edc975e0f3922d01bcd4f6dc9ae60ca3,c9d40bce9a3420d531314f5e2a4364243e23376172085211d8ead56c8b0483c4
imdb_flat_047_iid_M32_r1,32,8.0,1,0.34172959184027196,60,27,398d875af047fd3862615f9d1d01bd48fb0b3c29c5051339cfa15c30858f50f6,931486f1128962f8d482dcd0cc97cd62106ef25b52b5a4c1c674e135e7763a6b
imdb_flat_048_iid_M32_r2,32,8.0,2,0.1616116523516815,54,24,b135b4e4173dbeb76328511a9790db4a047b08f6658f681dec632c61880a05a4,c32fe4324f7766d1981fa95b77dfc4e3a596da80df4d614755ba8bbcae93327d
imdb_flat_049_iid_M32_r3,32,8.0,3,0.586155799655183,44,19,f9522dc365382ca6cc72269be312c979b2d05a0edcce89b30e6e8724916853cf,670732e1c3e60b18ea563912350cc9f1d9ad32bf0bb98eed65d205cd07dbf822
imdb_flat_050_iid_M32_r4,32,8.0,4,0.46338834764831843,58,26,beb72711e7cfaf3f6fa4c6e43f665de6dd78277d0cedd6f1032e41c327f38222,e27f3d1e7cd10a4a429fcde49d0d64860a74fcfbab19b19c052eb300913b984b
imdb_flat_051_iid_M32_r5,32,8.0,5,0.3383883476483186,54,24,7c808c3042d5868182dcfb4c24dc93854129ee90b8dc39e0380114369437157a,4bad68e4a4cc369f68092a211ccde946c7cd868de6e04dd674fb495765c009f3
imdb_flat_052_iid_M32_r6,32,8.0,6,0.2404849415639108,60,27,904512c7e1c0e6c0d36325cb902f280e5ea8fc7efd716f7dcc6ea2f1ed60e4be,7d36cb5158794ce96ffb0885eb841dd62b0d5fe355d97a38dddf726aac21b4ed
imdb_flat_053_iid_M32_r7,32,8.0,7,0.8982315199883694,52,23,a4675153a9e763773c2ddd9d0f80ae5ee0527a630fb01291a169497e2ae4eb49,a8866d16a3164332efa76c8da770247fd5409607d08372729baf0e6f312c24c8
imdb_flat_054_iid_M32_r8,32,8.0,8,0.21338834764831843,58,26,b6ae3ae4d123236117f7fbae58d916c5b70f0859bf97b409dfa13ade95fc4ae0,2b1ba9d8e5c6f17786cb283ef0c0a7ebab700574db6dba4d4a8cd4f7f31be8ef
imdb_flat_055_iid_M32_r9,32,8.0,9,0.29783542904563637,56,25,3faf14a25a5ee45c039532f0deb27685a90d14fc4812dcec9b763e07c39f7a8f,7791b79098f52cd4a6eb9723888b50c1af67eba7d97ef05fb96f5f6139c93364
imdb_flat_056_iid_M32_r10,32,8.0,10,0.4779533685342265,54,24,0091ce1a2a47ba9681e20cfe9d6b2cd35936f9d9d5f9701f6c5a374f68e965e5,2eb1608bb4bb9bfdcd533b0c7f0914591140a945fc8ed9393d8996ac366f348b
imdb_flat_057_iid_M32_r11,32,8.0,11,0.7900290888674126,54,24,16f79a30bdf2012dd7a4550ce038f163cf1ec656f1f35a244c47831548a11294,d7aa2fdaa6c960fd24a986e25873214dca00d9cd7a4fd28c77d30d690547d2ad
imdb_flat_058_iid_M32_r12,32,8.0,12,0.8305820074700948,52,23,1cf13063110359239f5f47e85e3ecef9c1aaa96fb4ad941c9cdc0f4b50dd1a27,4deff4ff53514cf26a0f3f8c90f0f4042076ce33427907c1cd423d93394877df
imdb_flat_059_iid_M32_r13,32,8.0,13,0.8901650429449554,58,26,6f50b0a8856ba3dbbb0f1536d5321e52d094da2c7b4d69449a3157678a62364f,cab1d4d4940f1d0d45c66adbb14e80e44845c0ab3f92d1de926ccd08d38367b5
imdb_flat_060_iid_M32_r14,32,8.0,14,0.7016407412190943,58,26,4ca68df8311df20ed2cc1c778e5776d8265d404ad77732851860c5f71215dd03,983edfd522191f20b37bc76db21ab5292e2c7854aa68dd671141b323406daa44
imdb_flat_061_iid_M32_r15,32,8.0,15,0.4267766952966369,46,20,ca1b64f1cc799d656c735194d2652121ea7c6651dfdd05135a942d98b8e6e869,92c3026bdee3f61da76323c24161a31d5851360d49691cd2725eb68f7352c28f
imdb_flat_062_iid_M32_r16,32,8.0,16,0.3112917537327262,48,21,77f279d7f4e529f450f836a0b06fbc7a1a497696e229091f220749d929f0ebd0,c55e79fa61998ba529f7919d5b352fabc1d17ba0f2bcac4c88d71e673937b365
imdb_flat_063_iid_M32_r17,32,8.0,17,0.8305820074700948,56,25,3da73e9023c80175d035313523a16402d6f07f541534943f5c0d640208cdb90b,3ffb1a0f18b95d3e58f37aba35e0b8ab32b0fa36bf5a3e2dcd23c47efb0f4ef6
imdb_flat_064_iid_M32_r18,32,8.0,18,0.9619397662556436,58,26,223892441dacf55f391f295bc7c7dc34d9eb85a549caa143479591779f956b3f,618469f2bffeef22229cdfdc4b8328d039bc9aa2aff0d3fa41ce48b9858bc5bd
imdb_flat_065_iid_M32_r19,32,8.0,19,0.3456708580912725,58,26,47bf93d8b4b1a6fcb44a92ce64a04672446a22db3c000589b3d3be2412f89607,6e6576d08e253278abae0687a1e69f109b7e1c812df010314a446cba41d7a12e
