M_over_N,M_data,stream_index,ideal_F_echo,transpiled_depth_local,local_cx_count,generic_noise_F_echo,shot_ci95_halfwidth,counts
4,16,20,0.8901650429449554,256,132,0.63037109375,0.020906060544218976,"{""00"": 1291, ""01"": 277, ""10"": 256, ""11"": 224}"
4,16,21,0.03661165235168156,256,132,0.099609375,0.012970499012677607,"{""00"": 204, ""01"": 260, ""10"": 257, ""11"": 1327}"
4,16,22,0.6250000000000001,187,96,0.49560546875,0.021654308753476136,"{""00"": 1015, ""01"": 321, ""10"": 356, ""11"": 356}"
4,16,23,0.7285533905932737,233,120,0.56787109375,0.021454709357633286,"{""00"": 1163, ""01"": 357, ""10"": 357, ""11"": 171}"
4,16,24,0.46338834764831843,256,132,0.38916015625,0.021116355187888777,"{""00"": 797, ""01"": 452, ""10"": 458, ""11"": 341}"
4,16,25,0.25,233,120,0.25439453125,0.018862511739599203,"{""00"": 521, ""01"": 511, ""10"": 499, ""11"": 517}"
4,16,26,0.10983495705504469,256,132,0.162109375,0.01596205586731878,"{""00"": 332, ""01"": 432, ""10"": 475, ""11"": 809}"
4,16,27,0.8535533905932737,279,144,0.6142578125,0.02108215534356749,"{""00"": 1258, ""01"": 213, ""10"": 218, ""11"": 359}"
4,16,28,0.6401650429449552,164,84,0.54248046875,0.021576846293923483,"{""00"": 1111, ""01"": 191, ""10"": 209, ""11"": 537}"
4,16,29,0.21338834764831838,164,84,0.2236328125,0.018046477486827438,"{""00"": 458, ""01"": 444, ""10"": 433, ""11"": 713}"
8,32,0,0.2500000000000001,371,192,0.2509765625,0.018778261482471567,"{""00"": 514, ""01"": 520, ""10"": 470, ""11"": 544}"
8,32,1,0.8305820074700946,394,204,0.54638671875,0.021561751832110454,"{""00"": 1119, ""01"": 355, ""10"": 344, ""11"": 230}"
8,32,2,0.5581344540821855,486,252,0.35498046875,0.020724294595014806,"{""00"": 727, ""01"": 489, ""10"": 443, ""11"": 389}"
8,32,3,0.8982315199883694,348,180,0.57861328125,0.021385810584552016,"{""00"": 1185, ""01"": 261, ""10"": 289, ""11"": 313}"
8,32,4,0.5996121243422731,440,228,0.4189453125,0.02136870814671062,"{""00"": 858, ""01"": 442, ""10"": 420, ""11"": 328}"
8,32,5,0.7900290888674127,509,264,0.44921875,0.021543169893932207,"{""00"": 920, ""01"": 329, ""10"": 396, ""11"": 403}"
8,32,6,0.8982315199883694,486,252,0.4970703125,0.021654773435443468,"{""00"": 1018, ""01"": 349, ""10"": 300, ""11"": 381}"
8,32,7,0.46338834764831843,463,240,0.3720703125,0.02093433226279079,"{""00"": 762, ""01"": 465, ""10"": 459, ""11"": 362}"
8,32,8,0.9253281139039617,417,216,0.5576171875,0.021510885753473756,"{""00"": 1142, ""01"": 313, ""10"": 312, ""11"": 281}"
8,32,9,0.8305820074700946,394,204,0.52392578125,0.0216303382922715,"{""00"": 1073, ""01"": 348, ""10"": 347, ""11"": 280}"
