path,M_fetched,M_used,stream_id,success_probability,overlap_probability,conditional_direction_fidelity,phase_insensitive_l2,max_abs_phase_used,max_abs_phase_discarded,signal_outside_fit_fraction_used,phase_branch_ambiguity_fraction_used,block_unitarity_error,unused_fraction
active_sampled,1024,768,29,0.04125644788915264,0.03527335726826998,0.8549780476264471,0.388200386694721,1.3061566471695891,1.466208110914944,0.026041666666666668,0.0,2.44451829155049e-16,0.25
active_sampled,1024,768,30,0.05194203021934728,0.04073046709390631,0.7841523891519955,0.4784897205418245,1.072692147642538,0.8907493723772553,0.005208333333333333,0.0,2.374801698355746e-16,0.25
active_sampled,1024,768,31,0.05309457658293685,0.03725050217075553,0.7015877057154427,0.5698976666650104,0.9632909111991792,0.79972589881146,0.0,0.0,2.254620878030453e-16,0.25
active_sampled,1024,768,32,0.04483024226436777,0.03324241228998333,0.7415175696341318,0.5270405214591536,1.148922247718364,0.8791515650432506,0.010416666666666666,0.0,2.4959149998639827e-16,0.25
active_sampled,1024,768,33,0.04078464397779562,0.031141089035125358,0.763549365591606,0.5023681553792186,1.0717195008435558,0.9379041380579576,0.005208333333333333,0.0,2.422459015327361e-16,0.25
active_sampled,1024,768,34,0.05816692973340724,0.046521754347553165,0.7997973171486503,0.4597523666840791,0.8751515051276979,0.8786869688018208,0.0,0.0,2.4927383554118156e-16,0.25
active_sampled,1024,768,35,0.04169346815814634,0.033198017001469286,0.7962402378124748,0.46406261474563965,0.8162838791163308,0.8936898580498,0.0,0.0,2.479804038169099e-16,0.25
active_sampled,1024,768,36,0.05160624022660125,0.04057187970146052,0.7861816618166868,0.4760906281130378,0.8658341577370565,0.9475890092313666,0.0,0.0,2.3710949974223153e-16,0.25
active_sampled,1024,768,37,0.055315057851802026,0.03606434231437849,0.6519805585488256,0.620559214147724,1.0711367230680433,1.1128439167865871,0.005208333333333333,0.0,2.3484986752111493e-16,0.25
active_sampled,1024,768,38,0.04248666491378586,0.031191124255481262,0.7341391544564497,0.5351276341819526,0.9194553817009976,0.9837909945048141,0.0,0.0,2.4341372490103283e-16,0.25
active_sampled,1024,768,39,0.05490014161590195,0.04192543346595956,0.7636671278424493,0.5022340097016377,1.0370228949033036,0.7853803079564214,0.005208333333333333,0.0,2.4447745181816434e-16,0.25
active_sampled,2048,1536,0,0.0619109651359857,0.05383911181536571,0.8696215879870328,0.3673281009802327,1.1928465478854229,1.1329740776096768,0.005208333333333333,0.0,2.4171221377775157e-16,0.25
