path,unit_samples,M_fetched,M_used,repeat,success_norm2_surrogate,conditional_direction_fidelity,padding_leakage
expected_operator,32,96,96,12,0.012496251144708377,0.9998345566502077,0.0
expected_operator,32,96,96,13,0.012513860208978971,0.9998931436826725,0.0
expected_operator,32,96,96,14,0.012506912012062651,0.9998981767585681,0.0
expected_operator,32,96,96,15,0.012425590274306555,0.9999423118343198,0.0
expected_operator,32,96,96,16,0.012462657353647516,0.9999091457705112,0.0
expected_operator,32,96,96,17,0.012516509169382581,0.999855161764225,0.0
expected_operator,32,96,96,18,0.012491489564884137,0.999917833790696,0.0
expected_operator,32,96,96,19,0.012517495844793131,0.9998859088038371,0.0
expected_operator,64,192,192,0,0.014057933252967506,0.9998762576727748,0.0
expected_operator,64,192,192,1,0.014026011235839846,0.9999023877598793,0.0
expected_operator,64,192,192,2,0.014004739942394708,0.9999166261937955,0.0
expected_operator,64,192,192,3,0.014003244903116868,0.9999417692543789,0.0
expected_operator,64,192,192,4,0.013953962026168765,0.9999571371813852,0.0
expected_operator,64,192,192,5,0.014092844671476118,0.9997996644264137,0.0
expected_operator,64,192,192,6,0.014006070819799422,0.9999165317158119,0.0
expected_operator,64,192,192,7,0.014087086705296506,0.9998908160978535,0.0
expected_operator,64,192,192,8,0.01408812172987188,0.9998522831046175,0.0
expected_operator,64,192,192,9,0.014168988733816524,0.9998266125960448,0.0
expected_operator,64,192,192,10,0.014008349579125414,0.9999259980798435,0.0
expected_operator,64,192,192,11,0.01410084967008321,0.9998325937983223,0.0
expected_operator,64,192,192,12,0.013968852818811437,0.9999473208908116,0.0
expected_operator,64,192,192,13,0.014085487207380832,0.9998843612730808,0.0
expected_operator,64,192,192,14,0.01407816448257725,0.9998360308641552,0.0
expected_operator,64,192,192,15,0.01401868384392914,0.9999290163334609,0.0
expected_operator,64,192,192,16,0.0140847793102182,0.9999070975042739,0.0
expected_operator,64,192,192,17,0.014061717609274063,0.999895605624278,0.0
expected_operator,64,192,192,18,0.01401411010637418,0.9998913191501311,0.0
expected_operator,64,192,192,19,0.014056102121217738,0.9999195346742876,0.0
expected_operator,128,384,384,0,0.014844293498601027,0.9999354313894132,0.0
expected_operator,128,384,384,1,0.014949611804949258,0.999792474310045,0.0
expected_operator,128,384,384,2,0.014878124104570217,0.9999285545210843,0.0
expected_operator,128,384,384,3,0.014875799859272745,0.99986129234488,0.0
expected_operator,128,384,384,4,0.014783580902279846,0.999953970903188,0.0
expected_operator,128,384,384,5,0.014788602781179978,0.9999641450429652,0.0
expected_operator,128,384,384,6,0.014862993099549039,0.9999363573263684,0.0
expected_operator,128,384,384,7,0.014841836900099114,0.9999336706200295,0.0
expected_operator,128,384,384,8,0.014885451117868582,0.9999302159506105,0.0
expected_operator,128,384,384,9,0.014810608640882853,0.9999455210927678,0.0
