method,source_input_contract,source_input_l2_norm,unit_samples_per_group,replicate,accounted_samples_total,qsvt_consumed_samples,unused_samples,used_fraction,actively_drawn_pairs,rng_seed,classical_weight_scale_reused,classical_intercept_reused,success_probability,fidelity,test_accuracy,raw_target_overlap,orientation_multiplier,orientation_flipped,relative_weight_l2_error
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,64,13,256,192,64,0.75,256,20272742,5.726650464525151,0.03129082689345313,0.10137182726382556,0.11341324478088752,0.56224,0.3367688298831819,1.0,False,1.151721468165648
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,64,14,256,192,64,0.75,256,20272743,5.726650464525151,0.03129082689345313,0.10832851740402116,0.14145382323753503,0.57844,0.3761034741098984,1.0,False,1.1170465754749006
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,64,15,256,192,64,0.75,256,20272744,5.726650464525151,0.03129082689345313,0.12705315765046393,0.11969482669317157,0.56932,0.34596940138279797,1.0,False,1.1437050306938428
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,64,16,256,192,64,0.75,256,20272745,5.726650464525151,0.03129082689345313,0.09399309631782604,0.10765902080579517,0.55912,0.3281143410547536,1.0,False,1.1592115069694973
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,64,17,256,192,64,0.75,256,20272746,5.726650464525151,0.03129082689345313,0.13839839849365465,0.146166132769581,0.57972,0.38231679634771604,1.0,False,1.1114703807590052
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,64,18,256,192,64,0.75,256,20272747,5.726650464525151,0.03129082689345313,0.13101287652375992,0.03861380716348471,0.53748,0.1965039622081059,1.0,False,1.2676719116489836
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,64,19,256,192,64,0.75,256,20272748,5.726650464525151,0.03129082689345313,0.09697121450777862,0.06790354101797538,0.55028,0.26058307891721477,1.0,False,1.2160731236918159
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,0,384,384,0,1.0,0,20260729,5.726650464525151,0.03129082689345313,0.012445607214982066,0.9998653254250042,0.67768,0.9999326604451942,1.0,False,0.011605132899341383
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,0,512,384,128,0.75,512,20273729,5.726650464525151,0.03129082689345313,0.10357642004048255,0.2623494906060068,0.60896,0.5122006351089452,1.0,False,0.9877240149870357
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,1,512,384,128,0.75,512,20273730,5.726650464525151,0.03129082689345313,0.09548841312338119,0.28867667055404034,0.58264,0.5372863952809901,1.0,False,0.9619912730571
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,2,512,384,128,0.75,512,20273731,5.726650464525151,0.03129082689345313,0.08008326659635377,0.25184918631952946,0.60648,0.50184577941787,1.0,False,0.9981525139798326
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,3,512,384,128,0.75,512,20273732,5.726650464525151,0.03129082689345313,0.08453594711669536,0.19109082737486371,0.59036,0.4371393683653575,1.0,False,1.061000124066574
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,4,512,384,128,0.75,512,20273733,5.726650464525151,0.03129082689345313,0.10400051430473314,0.2300923513415684,0.59204,0.47967942559752175,1.0,False,1.020118203349473
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,5,512,384,128,0.75,512,20273734,5.726650464525151,0.03129082689345313,0.09861076527236631,0.23462823196549537,0.60156,0.48438438451863347,1.0,False,1.0154955593023207
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,6,512,384,128,0.75,512,20273735,5.726650464525151,0.03129082689345313,0.07549594055246224,0.21670604104073615,0.57584,0.46551696106665774,1.0,False,1.0339081573653846
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,7,512,384,128,0.75,512,20273736,5.726650464525151,0.03129082689345313,0.08747327293945475,0.18427482968519104,0.57296,0.4292724422615445,1.0,False,1.0683890281526252
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,8,512,384,128,0.75,512,20273737,5.726650464525151,0.03129082689345313,0.0705830925983305,0.18426489619106018,0.56856,0.42926087195440976,1.0,False,1.068399857773849
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,9,512,384,128,0.75,512,20273738,5.726650464525151,0.03129082689345313,0.09234089631210243,0.29178114995217475,0.6074,0.5401677053954399,1.0,False,0.9589914437622059
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,10,512,384,128,0.75,512,20273739,5.726650464525151,0.03129082689345313,0.09000906475192877,0.3084090814455529,0.5952,0.5553459115232171,1.0,False,0.9430313764417204
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,11,512,384,128,0.75,512,20273740,5.726650464525151,0.03129082689345313,0.07272160859912115,0.24139709272789614,0.58904,0.49132178124717424,1.0,False,1.0086408862948455
