schema_version,design_id,fetched_at_utc,fetch_batch_id,submission_batch_id,campaign_label,grid_cell_id,experiment_id,task_id,P_parallel_streams,M_data_per_stream,base_stream_seed,replicate_id,assignment_id,pair_index,stream_seed,stream_sha256,mother_stream_sha256,stream_counts,ideal_F_echo_fixed,hardware_loss_vs_fixed_ideal,physical_pair,returned_layout_signature,layout_audit_pass,successes_00,raw_F_echo,raw_F_echo_ci_low,raw_F_echo_ci_high,raw_marginal_distribution,retry_index,retry_of_task_id
2,pm_grid_v1,2026-07-31T01:26:21.834018+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M4,imdb_parallel_grid_M4_P4_seed20260731_rep0_auto_v0,2607310923212616284,4,4,20260731,0,auto_v0,1,8372395983197385615,81b61ebe3dc134c913ddfad12081868e24a970caa24ac9c7be19368fd3d6f851,649420bf8a1912a26cddb51b971d91e42e6aec8f53fb7c336a21a5b7daf56aeb,"[0, 1, 1, 2]",0.25,-0.01953125,"[40, 34]","[[61,54],[40,34],[75,68],[48,41]]",True,1104,0.26953125,0.25616328304425506,0.28333110497945235,"{'00': 1104, '01': 876, '10': 632, '11': 1484}",0.0,
2,pm_grid_v1,2026-07-31T01:26:21.834018+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M4,imdb_parallel_grid_M4_P4_seed20260731_rep0_auto_v0,2607310923212616284,4,4,20260731,0,auto_v0,2,16424703092065961670,55a2bec386c22f68f88c7a9fe8733d84800d55cc42f10f6d092b201f0ebf99ae,176b20ec71a19fe9f74e48ffab259053447d9be44d5be940fdbe6ef8f92482a5,"[1, 1, 1, 1]",1.0,0.37939453125,"[75, 68]","[[61,54],[40,34],[75,68],[48,41]]",True,2542,0.62060546875,0.6056389073645264,0.6353460209366267,"{'00': 2542, '01': 496, '10': 494, '11': 564}",0.0,
2,pm_grid_v1,2026-07-31T01:26:21.834018+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M4,imdb_parallel_grid_M4_P4_seed20260731_rep0_auto_v0,2607310923212616284,4,4,20260731,0,auto_v0,3,17692520198164125698,b2b975945c692a9b31125dc7a6d13ec9783c9b531556efcda4a4745cef0055a5,6b2977f86445d25987d42521a721c94ad9e8b0f6bd00a27ba87053c176139dd5,"[2, 1, 1, 0]",0.25,-0.001953125,"[48, 41]","[[61,54],[40,34],[75,68],[48,41]]",True,1032,0.251953125,0.23889461297652467,0.2654764656591604,"{'00': 1032, '01': 859, '10': 925, '11': 1280}",0.0,
2,pm_grid_v1,2026-07-31T01:26:22.633645+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M8,imdb_parallel_grid_M8_P4_seed20260731_rep0_auto_v0,2607310923216597251,4,8,20260731,0,auto_v0,0,4300699173232547148,d7cace55ef704cb2afef43b5c725e51701755d3fbd36908aeb6790885bce23e1,1fc4621dfb9fe3648b221ca0214a201ea18097fe7257422752af448de41e7fcd,"[2, 2, 1, 3]",0.25,0.0185546875,"[54, 61]","[[54,61],[34,40],[41,75],[48,68]]",False,948,0.2314453125,0.21878449311800902,0.24460939123165,"{'00': 948, '01': 1299, '10': 734, '11': 1115}",0.0,
2,pm_grid_v1,2026-07-31T01:26:22.633645+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M8,imdb_parallel_grid_M8_P4_seed20260731_rep0_auto_v0,2607310923216597251,4,8,20260731,0,auto_v0,1,8372395983197385615,17be6dc00ceb89c131ef6a9a85c25d92e04086b293e644ee8aff6a491b81f2e3,649420bf8a1912a26cddb51b971d91e42e6aec8f53fb7c336a21a5b7daf56aeb,"[2, 1, 1, 4]",0.25,0.02490234375,"[34, 40]","[[54,61],[34,40],[41,75],[48,68]]",False,922,0.22509765625,0.21256843962651184,0.2381420274441391,"{'00': 922, '01': 904, '10': 873, '11': 1397}",0.0,
2,pm_grid_v1,2026-07-31T01:26:22.633645+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M8,imdb_parallel_grid_M8_P4_seed20260731_rep0_auto_v0,2607310923216597251,4,8,20260731,0,auto_v0,2,16424703092065961670,1d0b8ea9c0d875d78871ac416b90880121f40a6839090027798b88c972fb13b1,176b20ec71a19fe9f74e48ffab259053447d9be44d5be940fdbe6ef8f92482a5,"[1, 2, 1, 4]",0.12499999999999997,-0.07080078125000003,"[41, 75]","[[54,61],[34,40],[41,75],[48,68]]",False,802,0.19580078125,0.18393589711019379,0.20823572098041995,"{'00': 802, '01': 1063, '10': 1023, '11': 1208}",0.0,
2,pm_grid_v1,2026-07-31T01:26:22.633645+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M8,imdb_parallel_grid_M8_P4_seed20260731_rep0_auto_v0,2607310923216597251,4,8,20260731,0,auto_v0,3,17692520198164125698,c0c0a74974299d6730eadede699b305503ebac1b0607de202e359d73188c348b,6b2977f86445d25987d42521a721c94ad9e8b0f6bd00a27ba87053c176139dd5,"[3, 1, 1, 3]",0.12500000000000003,-0.08300781249999997,"[48, 68]","[[54,61],[34,40],[41,75],[48,68]]",False,852,0.2080078125,0.19585429364246335,0.22070851152316592,"{'00': 852, '01': 935, '10': 1096, '11': 1213}",0.0,
2,pm_grid_v1,2026-07-31T01:26:23.412480+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M16,imdb_parallel_grid_M16_P4_seed20260731_rep0_auto_v0,2607310923220585463,4,16,20260731,0,auto_v0,0,4300699173232547148,98a0fbd7b303c26f433a5a438d80b9761eb83ab7b64dfd398483292ac093352c,1fc4621dfb9fe3648b221ca0214a201ea18097fe7257422752af448de41e7fcd,"[5, 5, 2, 4]",0.46338834764831843,0.21314420702331843,"[54, 61]","[[54,61],[41,34],[75,68],[40,48]]",False,1025,0.250244140625,0.23721722305566817,0.26373908938951474,"{'00': 1025, '01': 1260, '10': 746, '11': 1065}",0.0,
2,pm_grid_v1,2026-07-31T01:26:23.412480+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M16,imdb_parallel_grid_M16_P4_seed20260731_rep0_auto_v0,2607310923220585463,4,16,20260731,0,auto_v0,1,8372395983197385615,1ff6bcff0d5b01a647054b7418b06857357ba8245127da98ef372a70f63219db,649420bf8a1912a26cddb51b971d91e42e6aec8f53fb7c336a21a5b7daf56aeb,"[5, 3, 1, 7]",0.03661165235168155,-0.12159147264831845,"[41, 34]","[[54,61],[41,34],[75,68],[40,48]]",False,648,0.158203125,0.147348210576197,0.169698551323369,"{'00': 648, '01': 1000, '10': 960, '11': 1488}",0.0,
2,pm_grid_v1,2026-07-31T01:26:23.412480+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M16,imdb_parallel_grid_M16_P4_seed20260731_rep0_auto_v0,2607310923220585463,4,16,20260731,0,auto_v0,2,16424703092065961670,37989ddffbc769b2754b3bcbcfead2f59ed32950a41a5608d1d68ec2d0a0f566,176b20ec71a19fe9f74e48ffab259053447d9be44d5be940fdbe6ef8f92482a5,"[4, 3, 4, 5]",0.7285533905932737,0.5088268280932737,"[75, 68]","[[54,61],[41,34],[75,68],[40,48]]",False,900,0.2197265625,0.20731199831159283,0.2326663464460513,"{'00': 900, '01': 776, '10': 1275, '11': 1145}",0.0,
